EID,Xvalue,Yvalue,Zvalue,time
0,0.586579442024231,-10.023324966430664,-1.1528080701828003,2017-05-12 12:55:22.904
1,0.5662286877632141,-10.169371604919434,-1.3634978532791138,2017-05-12 12:55:22.913
2,0.6548141837120056,-10.257957458496094,-1.5406688451766968,2017-05-12 12:55:22.924
3,0.8152256608009338,-10.333374977111816,-1.7525556087493896,2017-05-12 12:55:22.937
4,1.072602391242981,-10.437521934509276,-1.885433793067932,2017-05-12 12:55:22.944
5,1.3108254671096802,-10.451887130737305,-2.014720678329468,2017-05-12 12:55:22.954
6,1.37906014919281,-10.415974617004396,-2.011129379272461,2017-05-12 12:55:22.963
7,1.479616641998291,-10.319009780883787,-1.8914192914962769,2017-05-12 12:55:22.974
8,1.5298948287963867,-10.230423927307127,-1.8303672075271609,2017-05-12 12:55:22.985
9,1.533486247062683,-10.137049674987793,-1.778891921043396,2017-05-12 12:55:22.997
10,1.45806884765625,-10.005369186401367,-1.8004397153854368,2017-05-12 12:55:23.007
11,1.3886369466781616,-9.831789016723633,-1.8579005002975464,2017-05-12 12:55:23.018
12,1.2701239585876465,-9.639056205749512,-1.912967205047608,2017-05-12 12:55:23.024
13,1.171961784362793,-9.537302017211914,-2.0733785629272456,2017-05-12 12:55:23.034
14,1.1480196714401243,-9.4822359085083,-2.3235726356506348,2017-05-12 12:55:23.044
15,1.04028058052063,-9.57321548461914,-2.5019407272338867,2017-05-12 12:55:23.055
16,0.9265560507774352,-9.578003883361816,-2.6384103298187256,2017-05-12 12:55:23.065
17,0.8559271097183228,-9.550470352172852,-2.675520420074463,2017-05-12 12:55:23.076
18,0.7769184708595276,-9.533711433410645,-2.7712883949279785,2017-05-12 12:55:23.087
19,0.5985504388809204,-9.588777542114258,-2.8359320163726807,2017-05-12 12:55:23.093
20,0.5027823448181152,-9.568427085876463,-2.7784709930419917,2017-05-12 12:55:23.103
21,0.4213795065879822,-9.512163162231444,-2.64559292793274,2017-05-12 12:55:23.113
22,0.3531447649002075,-9.537302017211914,-2.5749640464782715,2017-05-12 12:55:23.123
23,0.3196259140968323,-9.615114212036133,-2.513911724090576,2017-05-12 12:55:23.134
24,0.3567360639572144,-9.633070945739746,-2.6216509342193604,2017-05-12 12:55:23.143
25,0.40462008118629456,-9.702502250671387,-2.537853717803955,2017-05-12 12:55:23.153
26,0.4405331015586853,-9.761159896850586,-2.4229321479797363,2017-05-12 12:55:23.164
27,0.4141969084739685,-9.619902610778807,-2.40736985206604,2017-05-12 12:55:23.174
28,0.456095427274704,-9.294290542602539,-2.5330653190612797,2017-05-12 12:55:23.183
29,0.5327098965644836,-8.925583839416504,-2.718616008758545,2017-05-12 12:55:23.193
30,0.6212953329086304,-8.719682693481445,-2.9113492965698238,2017-05-12 12:55:23.203
31,0.6560112833976746,-8.655038833618164,-2.9520506858825684,2017-05-12 12:55:23.213
32,0.7003039717674255,-8.680178642272951,-2.8395233154296875,2017-05-12 12:55:23.223
33,0.6165069341659546,-8.763975143432617,-2.65636682510376,2017-05-12 12:55:23.234
34,0.5841852426528931,-8.761581420898438,-2.562992811203003,2017-05-12 12:55:23.243
35,0.4692635238170624,-8.798690795898438,-2.5067291259765625,2017-05-12 12:55:23.254
36,0.30047231912612915,-8.87410831451416,-2.5354595184326167,2017-05-12 12:55:23.263
37,0.2190694510936737,-8.875306129455566,-2.582146644592285,2017-05-12 12:55:23.273
